Designator,Mid X,Mid Y,Layer,Rotation
U7,9.000,47.000,Top,0.0
C17,16.000,50.000,Top,0.0
D6,22.000,50.000,Top,0.0
D8,28.000,50.000,Top,0.0
C18,16.000,42.000,Top,0.0
R19,22.000,45.000,Top,0.0
R20,22.000,41.000,Top,0.0
R21,27.000,45.000,Top,0.0
R33,27.000,41.000,Top,0.0
R34,27.000,37.000,Top,0.0
D7,9.000,37.000,Top,0.0
R22,14.000,37.000,Top,0.0
J13,5.000,30.000,Top,0.0
R_CC1,13.000,32.000,Top,0.0
R_CC2,13.000,29.000,Top,0.0
U11,19.000,31.000,Top,0.0
F2,25.000,31.000,Top,0.0
C27,25.000,27.000,Top,0.0
U12,21.000,12.000,Top,0.0
C28,28.000,15.000,Top,0.0
C29,28.000,11.000,Top,0.0
R35,16.000,15.000,Top,0.0
R36,16.000,11.000,Top,0.0
R37,16.000,7.000,Top,0.0
R38,21.000,7.000,Top,0.0
D13,6.000,15.000,Top,0.0
D5,6.000,10.000,Top,0.0
R31,6.000,6.000,Top,0.0
U1,10.000,21.000,Top,0.0
L2,17.000,21.000,Top,0.0
C9,7.000,18.500,Top,0.0
C10,10.000,18.500,Top,0.0
C11,20.000,21.000,Top,0.0
C12,20.000,18.500,Top,0.0
C_BUCK,25.000,20.000,Top,0.0
R11,13.000,18.500,Top,0.0
J1,5.600,21.500,Top,180.0
U6,50.000,38.000,Top,0.0
C14a,36.000,48.000,Top,0.0
C14b,39.000,48.000,Top,0.0
C14c,36.000,45.000,Top,0.0
C14d,39.000,45.000,Top,0.0
C15,42.000,47.000,Top,0.0
R12,36.000,41.000,Top,0.0
R13,39.000,41.000,Top,0.0
C13,42.000,41.000,Top,0.0
SW1,42.000,51.000,Top,0.0
SW2,48.000,51.000,Top,0.0
D4,62.000,27.000,Top,0.0
R14,58.000,27.000,Top,0.0
U9,62.000,35.000,Top,0.0
FB1,57.000,38.000,Top,0.0
C23,57.000,35.000,Top,0.0
C24,57.000,32.000,Top,0.0
R28,62.000,30.000,Top,0.0
Q2,57.000,47.000,Top,0.0
R7,62.000,49.000,Top,0.0
R8,62.000,46.000,Top,0.0
C8,57.000,43.000,Top,0.0
R26,62.000,43.000,Top,0.0
D9,58.000,25.000,Top,0.0
R2,64.000,22.000,Top,0.0
R3,58.000,22.000,Top,0.0
C3,60.000,19.000,Top,0.0
C4,64.000,19.000,Top,0.0
C_SH1,64.000,25.000,Top,0.0
D10,58.000,17.000,Top,0.0
R4,64.000,14.000,Top,0.0
R5,58.000,14.000,Top,0.0
C5,60.000,11.000,Top,0.0
C6,64.000,11.000,Top,0.0
C_SH2,64.000,17.000,Top,0.0
D1,57.000,28.000,Top,0.0
D12,57.000,19.000,Top,0.0
C7,57.000,11.000,Top,0.0
R6,57.000,8.000,Top,0.0
R32,57.000,5.000,Top,0.0
J12,73.000,49.000,Top,180.0
D14,65.000,49.000,Top,0.0
J4,73.000,37.000,Top,180.0
J5,73.000,25.000,Top,180.0
J6,73.000,13.000,Top,180.0
J7,73.000,5.000,Top,180.0
U8,33.000,13.000,Top,0.0
L1,33.000,8.000,Top,0.0
C_BST,36.000,16.000,Top,0.0
C20,33.000,3.000,Top,0.0
C22,38.000,3.000,Top,0.0
C19,38.000,8.000,Top,0.0
D11,38.000,13.000,Top,0.0
R23,33.000,17.000,Top,0.0
R24,38.000,17.000,Top,0.0
C21,43.000,16.000,Top,0.0
J10,30.000,8.000,Top,0.0
SJ1,48.000,11.000,Top,0.0
SJ2,48.000,7.000,Top,0.0
SJ3,48.000,3.000,Top,0.0
SJ4,53.000,11.000,Top,0.0
SJ5,53.000,7.000,Top,0.0
TP1,3.000,3.000,Top,0.0
TP2,7.000,3.000,Top,0.0
TP3,11.000,3.000,Top,0.0
TP4,15.000,3.000,Top,0.0
TP5,19.000,3.000,Top,0.0
TP6,23.000,3.000,Top,0.0
TP7,27.000,3.000,Top,0.0
TP8,31.000,3.000,Top,0.0
TP9,47.000,3.000,Top,0.0
TP10,51.000,3.000,Top,0.0
TP11,55.000,3.000,Top,0.0
TP12,59.000,3.000,Top,0.0
TP14,63.000,3.000,Top,0.0
TP15,67.000,3.000,Top,0.0
J3,40.000,0.000,Top,270.0
R9,44.000,11.500,Top,0.0
R10,53.000,10.000,Top,0.0
